smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_197_raw,smart_198_raw,failure,prediction
0.0,43481.0,0.0,0.0,0.0,0.0,0,0
0.0,72729.0,0.0,1.0,0.0,0.0,0,0
0.0,50745.0,0.0,0.0,0.0,0.0,1,0
0.0,49124.0,0.0,0.0,0.0,0.0,0,0
0.0,10514.0,0.0,0.0,0.0,0.0,0,0
2048.0,74876.0,369.0,0.0,0.0,0.0,1,1
0.0,37876.0,0.0,0.0,1.0,5.0,0,0
0.0,45608.0,0.0,0.0,0.0,0.0,0,0
0.0,73851.0,0.0,0.0,0.0,0.0,0,0
0.0,43567.0,0.0,0.0,0.0,0.0,0,0
8.0,71634.0,0.0,0.0,0.0,0.0,0,0
0.0,41536.0,0.0,0.0,0.0,0.0,0,0
0.0,38880.0,0.0,0.0,0.0,0.0,0,0
0.0,45283.0,0.0,0.0,0.0,0.0,0,0
0.0,74861.0,0.0,0.0,0.0,0.0,0,0
0.0,40681.0,0.0,0.0,0.0,0.0,0,0
0.0,21184.0,0.0,0.0,0.0,0.0,0,0
0.0,38850.0,0.0,0.0,0.0,0.0,0,0
0.0,39490.0,0.0,0.0,0.0,0.0,0,0
0.0,47312.0,0.0,1.0,0.0,0.0,0,0
0.0,40745.0,0.0,0.0,0.0,0.0,0,0
0.0,51404.0,5.0,8590065666.0,0.0,0.0,0,0
0.0,49058.0,0.0,0.0,0.0,0.0,0,0
0.0,49746.0,0.0,0.0,0.0,0.0,0,0
0.0,46428.0,0.0,0.0,0.0,0.0,0,0
0.0,58130.0,0.0,0.0,0.0,0.0,0,0
24.0,2238.0,0.0,0.0,0.0,0.0,0,0
0.0,39974.0,0.0,0.0,0.0,0.0,0,0
26840.0,49153.0,266.0,8590065666.0,128.0,128.0,0,1
0.0,44213.0,0.0,0.0,0.0,0.0,0,0
0.0,40755.0,0.0,0.0,0.0,0.0,0,0
0.0,40682.0,0.0,0.0,0.0,0.0,0,0
0.0,39670.0,0.0,0.0,0.0,0.0,0,0
0.0,44596.0,0.0,0.0,0.0,0.0,0,0
0.0,72710.0,0.0,0.0,0.0,0.0,0,0
0.0,16100.0,0.0,0.0,0.0,0.0,0,0
16.0,2355.0,1.0,0.0,0.0,0.0,0,1
0.0,46417.0,0.0,0.0,0.0,0.0,0,0
0.0,41873.0,0.0,0.0,0.0,0.0,0,0
33.0,73053.0,0.0,1.0,0.0,0.0,0,0
0.0,45236.0,0.0,0.0,0.0,0.0,0,0
0.0,38555.0,0.0,0.0,0.0,0.0,0,0
0.0,74806.0,0.0,0.0,0.0,0.0,0,0
0.0,41450.0,0.0,0.0,0.0,0.0,0,0
0.0,3865.0,0.0,0.0,0.0,0.0,0,0
0.0,39853.0,0.0,0.0,0.0,0.0,0,0
0.0,47207.0,0.0,0.0,0.0,0.0,0,0
0.0,43186.0,0.0,0.0,0.0,0.0,0,0
0.0,13487.0,2.0,0.0,48.0,48.0,0,0
0.0,3123.0,0.0,0.0,0.0,0.0,0,0
0.0,76231.0,0.0,0.0,0.0,0.0,0,0
0.0,73046.0,0.0,0.0,0.0,0.0,0,0
0.0,71627.0,0.0,0.0,0.0,0.0,0,0
0.0,49119.0,0.0,0.0,0.0,0.0,0,0
0.0,40750.0,0.0,0.0,0.0,0.0,0,0
0.0,46491.0,0.0,0.0,0.0,0.0,0,0
0.0,4076.0,0.0,0.0,0.0,0.0,0,0
0.0,47292.0,0.0,0.0,0.0,0.0,0,0
0.0,73913.0,0.0,0.0,0.0,0.0,0,0
0.0,49488.0,0.0,0.0,0.0,0.0,0,0
0.0,39845.0,0.0,0.0,0.0,0.0,0,0
0.0,17194.0,0.0,0.0,0.0,0.0,0,0
0.0,760.0,0.0,0.0,0.0,0.0,0,0
0.0,3044.0,0.0,1.0,0.0,0.0,0,0
64.0,73017.0,4.0,1.0,0.0,0.0,0,0
0.0,43536.0,0.0,0.0,0.0,0.0,0,0
0.0,40017.0,0.0,0.0,0.0,0.0,0,0
0.0,43520.0,0.0,0.0,0.0,0.0,0,0
0.0,41490.0,0.0,0.0,0.0,0.0,0,0
0.0,58159.0,0.0,0.0,0.0,0.0,0,0
0.0,39484.0,0.0,0.0,0.0,0.0,0,0
0.0,75105.0,0.0,0.0,0.0,0.0,0,0
0.0,154.0,0.0,0.0,0.0,0.0,0,0
0.0,45690.0,0.0,0.0,0.0,0.0,0,0
0.0,45232.0,0.0,0.0,0.0,0.0,0,0
0.0,46442.0,0.0,0.0,0.0,0.0,0,0
0.0,51847.0,0.0,0.0,0.0,0.0,0,0
17.0,76312.0,34.0,0.0,0.0,0.0,0,0
0.0,42955.0,0.0,0.0,0.0,0.0,0,0
0.0,59560.0,0.0,0.0,0.0,0.0,0,0
0.0,58204.0,0.0,0.0,0.0,0.0,0,0
0.0,70944.0,0.0,0.0,0.0,0.0,0,0
0.0,49690.0,0.0,0.0,0.0,0.0,0,0
0.0,47251.0,0.0,0.0,0.0,0.0,0,0
8.0,3250.0,0.0,0.0,0.0,0.0,0,0
